Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1665820000000.0,2022-10-15 09:00:00+00:00,ETHUSDT,1279.75,1284.31,1277.56,1279.69,221889.977,284156916.1,114925
1665830000000.0,2022-10-15 10:00:00+00:00,ETHUSDT,1279.69,1287.73,1276.02,1284.23,178651.62,229161763.8,100349
1665830000000.0,2022-10-15 11:00:00+00:00,ETHUSDT,1284.22,1287.31,1283.1,1286.91,68757.713,88355338.76,49545
1665840000000.0,2022-10-15 12:00:00+00:00,ETHUSDT,1286.92,1288.47,1283.84,1284.53,98666.539,126925173.8,58028
1665840000000.0,2022-10-15 13:00:00+00:00,ETHUSDT,1284.54,1290.25,1278.06,1288.11,213337.087,273777484.3,110237
1665840000000.0,2022-10-15 14:00:00+00:00,ETHUSDT,1288.12,1291.4,1284.59,1287.87,139707.661,179895248.1,77892
1665850000000.0,2022-10-15 15:00:00+00:00,ETHUSDT,1287.88,1288.37,1284.0,1285.39,84338.661,108480171.7,51457
1665850000000.0,2022-10-15 16:00:00+00:00,ETHUSDT,1285.4,1289.58,1282.1,1284.82,105423.61,135548923.0,62996
1665850000000.0,2022-10-15 17:00:00+00:00,ETHUSDT,1284.83,1286.45,1280.88,1282.21,81830.474,105019385.1,49402
1665860000000.0,2022-10-15 18:00:00+00:00,ETHUSDT,1282.2,1285.02,1281.52,1282.59,63058.621,80929879.13,37926
1665860000000.0,2022-10-15 19:00:00+00:00,ETHUSDT,1282.58,1283.0,1277.8,1281.93,100360.559,128547178.6,56463
1665860000000.0,2022-10-15 20:00:00+00:00,ETHUSDT,1281.93,1283.29,1278.33,1280.46,61994.977,79404032.49,41577
1665870000000.0,2022-10-15 21:00:00+00:00,ETHUSDT,1280.46,1280.47,1269.1,1274.88,164286.007,209412136.6,92641
1665870000000.0,2022-10-15 22:00:00+00:00,ETHUSDT,1274.88,1276.05,1269.55,1270.21,106824.119,136049909.4,66110
1665870000000.0,2022-10-15 23:00:00+00:00,ETHUSDT,1270.22,1279.44,1262.12,1274.13,313168.096,398193887.7,158361
1665880000000.0,2022-10-16 00:00:00+00:00,ETHUSDT,1274.12,1281.53,1273.98,1281.05,120395.207,153819047.5,71452
1665880000000.0,2022-10-16 01:00:00+00:00,ETHUSDT,1281.04,1287.0,1277.81,1281.88,120910.2,155027088.2,68941
1665890000000.0,2022-10-16 02:00:00+00:00,ETHUSDT,1281.89,1285.3,1279.58,1281.24,87875.718,112666652.1,49555
1665890000000.0,2022-10-16 03:00:00+00:00,ETHUSDT,1281.24,1283.24,1280.18,1283.0,50741.718,65037958.42,33505
1665890000000.0,2022-10-16 04:00:00+00:00,ETHUSDT,1283.0,1286.38,1282.05,1283.95,88626.948,113811658.8,51013
1665900000000.0,2022-10-16 05:00:00+00:00,ETHUSDT,1283.94,1288.78,1282.21,1284.05,114952.965,147693554.6,55527
1665900000000.0,2022-10-16 06:00:00+00:00,ETHUSDT,1284.05,1284.3,1280.36,1283.71,74404.719,95400747.97,43758
1665900000000.0,2022-10-16 07:00:00+00:00,ETHUSDT,1283.68,1284.33,1281.01,1282.5,55431.974,71116184.2,34886
1665910000000.0,2022-10-16 08:00:00+00:00,ETHUSDT,1282.5,1289.9,1282.49,1288.1,167704.255,215812861.2,82659
1665910000000.0,2022-10-16 09:00:00+00:00,ETHUSDT,1288.11,1288.23,1283.65,1285.23,96683.64,124301651.3,56608
1665910000000.0,2022-10-16 10:00:00+00:00,ETHUSDT,1285.22,1285.85,1278.2,1281.0,127243.643,163090417.8,72609
1665920000000.0,2022-10-16 11:00:00+00:00,ETHUSDT,1281.0,1284.5,1280.0,1283.55,76155.643,97660355.44,45553
1665920000000.0,2022-10-16 12:00:00+00:00,ETHUSDT,1283.55,1284.38,1278.24,1281.62,120721.381,154735031.8,64431
1665930000000.0,2022-10-16 13:00:00+00:00,ETHUSDT,1281.62,1285.5,1281.1,1283.89,70267.756,90154760.04,42862
1665930000000.0,2022-10-16 14:00:00+00:00,ETHUSDT,1283.89,1285.0,1279.2,1282.46,104862.734,134438641.8,56347
1665930000000.0,2022-10-16 15:00:00+00:00,ETHUSDT,1282.47,1287.48,1282.32,1285.5,121599.38,156327140.3,67352
1665940000000.0,2022-10-16 16:00:00+00:00,ETHUSDT,1285.51,1287.41,1282.48,1283.73,82608.951,106110106.7,52041
1665940000000.0,2022-10-16 17:00:00+00:00,ETHUSDT,1283.73,1286.4,1282.44,1283.65,65029.796,83524782.68,36231
1665940000000.0,2022-10-16 18:00:00+00:00,ETHUSDT,1283.65,1283.76,1280.85,1282.46,52265.992,67039314.73,32940
1665950000000.0,2022-10-16 19:00:00+00:00,ETHUSDT,1282.47,1309.52,1282.0,1307.32,422250.393,547639983.5,196148
1665950000000.0,2022-10-16 20:00:00+00:00,ETHUSDT,1307.32,1315.0,1303.91,1309.74,348972.346,456865931.3,170996
1665950000000.0,2022-10-16 21:00:00+00:00,ETHUSDT,1309.74,1314.0,1290.06,1292.74,256551.792,334122755.8,142169
1665960000000.0,2022-10-16 22:00:00+00:00,ETHUSDT,1292.73,1314.79,1290.12,1307.94,315007.748,410964800.0,167965
1665960000000.0,2022-10-16 23:00:00+00:00,ETHUSDT,1307.94,1309.5,1301.72,1305.51,141587.957,184842820.1,87331
1665960000000.0,2022-10-17 00:00:00+00:00,ETHUSDT,1305.52,1307.85,1297.26,1302.83,199022.137,259171440.6,98413
1665970000000.0,2022-10-17 01:00:00+00:00,ETHUSDT,1302.83,1305.2,1295.0,1296.28,125803.848,163684428.1,69639
1665970000000.0,2022-10-17 02:00:00+00:00,ETHUSDT,1296.29,1301.46,1295.41,1299.37,117106.317,152081413.8,64184
1665980000000.0,2022-10-17 03:00:00+00:00,ETHUSDT,1299.37,1302.0,1295.08,1301.11,101587.843,131894223.2,62709
1665980000000.0,2022-10-17 04:00:00+00:00,ETHUSDT,1301.1,1305.43,1298.03,1304.27,105049.964,136797741.3,64330
1665980000000.0,2022-10-17 05:00:00+00:00,ETHUSDT,1304.27,1308.96,1303.92,1307.81,143946.628,187957291.2,73226
1665990000000.0,2022-10-17 06:00:00+00:00,ETHUSDT,1307.82,1311.41,1305.4,1306.19,146594.077,191749634.2,85008
1665990000000.0,2022-10-17 07:00:00+00:00,ETHUSDT,1306.19,1314.0,1305.96,1311.47,230221.32,301618866.4,116334
1665990000000.0,2022-10-17 08:00:00+00:00,ETHUSDT,1311.48,1313.21,1306.66,1308.22,145379.889,190432548.9,79729
1666000000000.0,2022-10-17 09:00:00+00:00,ETHUSDT,1308.21,1320.0,1307.64,1316.93,268703.47,353461147.9,139667
1666000000000.0,2022-10-17 10:00:00+00:00,ETHUSDT,1316.93,1322.65,1316.89,1318.79,288634.581,380998227.1,142545
1666000000000.0,2022-10-17 11:00:00+00:00,ETHUSDT,1318.8,1325.45,1314.06,1317.03,272844.173,359863193.2,141683
1666010000000.0,2022-10-17 12:00:00+00:00,ETHUSDT,1317.03,1322.22,1312.89,1318.93,220666.736,290763524.2,116743
1666010000000.0,2022-10-17 13:00:00+00:00,ETHUSDT,1318.94,1337.48,1318.17,1330.78,648564.122,862106296.9,280452
1666020000000.0,2022-10-17 14:00:00+00:00,ETHUSDT,1330.78,1336.58,1323.0,1325.6,425152.544,565490814.8,205688
1666020000000.0,2022-10-17 15:00:00+00:00,ETHUSDT,1325.6,1332.66,1323.06,1328.53,259689.221,344811393.8,137204
1666020000000.0,2022-10-17 16:00:00+00:00,ETHUSDT,1328.53,1330.74,1317.82,1320.38,320895.859,424669198.8,136240
1666030000000.0,2022-10-17 17:00:00+00:00,ETHUSDT,1320.39,1323.0,1316.4,1320.39,161881.936,213647006.0,91504
1666030000000.0,2022-10-17 18:00:00+00:00,ETHUSDT,1320.39,1321.76,1314.02,1319.9,186658.365,246019695.0,93410
1666030000000.0,2022-10-17 19:00:00+00:00,ETHUSDT,1319.9,1325.2,1318.66,1325.03,134309.302,177535899.3,77344
1666040000000.0,2022-10-17 20:00:00+00:00,ETHUSDT,1325.04,1330.85,1323.22,1329.0,174955.732,232156470.7,85009
1666040000000.0,2022-10-17 21:00:00+00:00,ETHUSDT,1329.01,1333.31,1326.0,1329.88,107790.684,143260443.6,62573
1666040000000.0,2022-10-17 22:00:00+00:00,ETHUSDT,1329.88,1338.16,1325.68,1330.5,273243.31,364235998.1,132563
1666050000000.0,2022-10-17 23:00:00+00:00,ETHUSDT,1330.5,1333.39,1328.23,1330.62,96004.832,127767700.5,57764
1666050000000.0,2022-10-18 00:00:00+00:00,ETHUSDT,1330.62,1342.0,1328.47,1337.38,289010.383,386286703.7,134694
1666050000000.0,2022-10-18 01:00:00+00:00,ETHUSDT,1337.38,1339.3,1330.31,1332.12,147443.183,196706798.9,79205
1666060000000.0,2022-10-18 02:00:00+00:00,ETHUSDT,1332.12,1334.27,1326.71,1327.15,120072.248,159759252.9,71192
1666060000000.0,2022-10-18 03:00:00+00:00,ETHUSDT,1327.15,1336.95,1327.02,1332.77,174235.033,232168755.2,86261
1666070000000.0,2022-10-18 04:00:00+00:00,ETHUSDT,1332.77,1337.49,1331.2,1334.58,157882.02,210725055.4,80517
