Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
1.62907E+12,2021-08-15 23:00:00+00:00,BTCUSDT,47210.67,47299.15,46856.37,46973.82,1952.106504,91917430.37,108404
1.62907E+12,2021-08-16 00:00:00+00:00,BTCUSDT,46973.82,47800,46741.44,47546.67,4252.71541,201918480.1,136952
1.62908E+12,2021-08-16 01:00:00+00:00,BTCUSDT,47546.68,47692.19,47464.72,47634.64,1512.477433,71944703.19,42200
1.62908E+12,2021-08-16 02:00:00+00:00,BTCUSDT,47634.64,48002,47541,47993.82,3257.057267,155827215.6,64521
1.62908E+12,2021-08-16 03:00:00+00:00,BTCUSDT,47993.81,48053.83,47291.44,47357.62,2885.388207,137446843.8,84544
1.62909E+12,2021-08-16 04:00:00+00:00,BTCUSDT,47357.62,47575,47351.32,47396.06,1827.464406,86754274.81,49419
1.62909E+12,2021-08-16 05:00:00+00:00,BTCUSDT,47396.07,47624.2,47385.9,47612,1800.978344,85530520.52,65103
1.62909E+12,2021-08-16 06:00:00+00:00,BTCUSDT,47612.01,47719.3,47182.35,47344.74,1670.348089,79136867.78,83516
1.6291E+12,2021-08-16 07:00:00+00:00,BTCUSDT,47344.73,47500,47289.08,47309.85,1127.78298,53440320.44,38214
1.6291E+12,2021-08-16 08:00:00+00:00,BTCUSDT,47309.85,47420,47000,47131.01,1941.62765,91599391.3,55359
1.6291E+12,2021-08-16 09:00:00+00:00,BTCUSDT,47131.01,47222.81,47031.98,47169.98,1398.920763,65938900.1,44455
1.62911E+12,2021-08-16 10:00:00+00:00,BTCUSDT,47169.99,47534,47161.05,47421.57,1992.824122,94384109,50544
1.62911E+12,2021-08-16 11:00:00+00:00,BTCUSDT,47421.58,47661.38,47370,47516.95,2022.241894,96074967.11,54766
1.62912E+12,2021-08-16 12:00:00+00:00,BTCUSDT,47516.95,47709.12,47157.61,47304.68,2179.248363,103220519.1,60188
1.62912E+12,2021-08-16 13:00:00+00:00,BTCUSDT,47304.68,47368.94,46318.98,46440.28,4581.434443,214110469.4,110531
1.62912E+12,2021-08-16 14:00:00+00:00,BTCUSDT,46440.27,46604.68,46080,46101.6,3358.163409,155582736.4,164504
1.62913E+12,2021-08-16 15:00:00+00:00,BTCUSDT,46101.59,46465,45951.73,46344.03,2967.547803,137053869,124672
1.62913E+12,2021-08-16 16:00:00+00:00,BTCUSDT,46344.03,46582.89,46205.34,46438.2,1730.703134,80270021.79,51542
1.62913E+12,2021-08-16 17:00:00+00:00,BTCUSDT,46438.23,46541,46175.01,46473.51,1272.910097,59018027.16,40767
1.62914E+12,2021-08-16 18:00:00+00:00,BTCUSDT,46473.51,46666,46365.25,46481.53,1435.509713,66740582.8,46355
1.62914E+12,2021-08-16 19:00:00+00:00,BTCUSDT,46481.52,46481.53,46067.51,46092.99,1368.940587,63345962.1,49210
1.62914E+12,2021-08-16 20:00:00+00:00,BTCUSDT,46092.98,46119.09,45660,46057.67,3822.501831,175143555.7,102847
1.62915E+12,2021-08-16 21:00:00+00:00,BTCUSDT,46057.67,46246.11,45879.9,46049.97,1406.724643,64805359.17,46185
1.62915E+12,2021-08-16 22:00:00+00:00,BTCUSDT,46049.98,46337.62,45980.57,46121.11,1174.199872,54213706.74,37429
1.62915E+12,2021-08-16 23:00:00+00:00,BTCUSDT,46121.1,46196.97,45716.87,45901.29,1492.863554,68626226.45,51555
1.62916E+12,2021-08-17 00:00:00+00:00,BTCUSDT,45901.3,46084.74,45239.45,45757.1,3549.64849,161818791.5,96862
1.62916E+12,2021-08-17 01:00:00+00:00,BTCUSDT,45757.1,46370,45715.02,46285.46,2071.622554,95557963.51,56811
1.62917E+12,2021-08-17 02:00:00+00:00,BTCUSDT,46285.45,46470.27,46143.9,46447.28,1609.621479,74527992.83,50037
1.62917E+12,2021-08-17 03:00:00+00:00,BTCUSDT,46447.28,46620,46330.95,46417,1513.990252,70323814.87,46967
1.62917E+12,2021-08-17 04:00:00+00:00,BTCUSDT,46417,46600,46252.36,46376.43,1212.642864,56300320.59,41591
1.62918E+12,2021-08-17 05:00:00+00:00,BTCUSDT,46376.44,46473.42,46020.04,46041.81,1382.493714,63950454.24,46006
1.62918E+12,2021-08-17 06:00:00+00:00,BTCUSDT,46041.81,46118.45,45735,45755.66,1875.13965,86102607.15,53548
1.62918E+12,2021-08-17 07:00:00+00:00,BTCUSDT,45755.66,46010,45636.97,45947.49,1616.084996,74007870.6,50840
1.62919E+12,2021-08-17 08:00:00+00:00,BTCUSDT,45947.49,46365.71,45885.01,46188,1959.991589,90453333.52,55330
1.62919E+12,2021-08-17 09:00:00+00:00,BTCUSDT,46187.99,46882.22,46170,46843.53,2830.00254,131838206.1,73491
1.62919E+12,2021-08-17 10:00:00+00:00,BTCUSDT,46843.52,46971.99,46586.97,46622.09,2683.883596,125649512.6,66882
1.6292E+12,2021-08-17 11:00:00+00:00,BTCUSDT,46622.1,47160,46622.09,46849.43,2654.683642,124463953.2,79870
1.6292E+12,2021-08-17 12:00:00+00:00,BTCUSDT,46845.15,47082.6,46650,46655.24,2288.434473,107286869.3,69318
1.62921E+12,2021-08-17 13:00:00+00:00,BTCUSDT,46655.23,46799.99,46280,46373.51,2322.391856,107969244.9,65856
1.62921E+12,2021-08-17 14:00:00+00:00,BTCUSDT,46373.51,46460,45868.23,45948.44,3127.46247,144075086.7,131752
1.62921E+12,2021-08-17 15:00:00+00:00,BTCUSDT,45948.45,46045.77,45659,45730,2455.14965,112488802.1,113224
1.62922E+12,2021-08-17 16:00:00+00:00,BTCUSDT,45730,46114.59,45532.33,45654.99,2373.042242,108629465.6,69479
1.62922E+12,2021-08-17 17:00:00+00:00,BTCUSDT,45654.98,45941.61,45543,45800.62,1608.008912,73546669.96,128714
