Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1.62E+12,2021-05-24 22:00:00+00:00,ETHUSDT,2593.01,2647.37,2529.07,2588.66,80420.77239,207760653.7,151196
1.62E+12,2021-05-24 23:00:00+00:00,ETHUSDT,2588.92,2656.73,2573.13,2648.43,50859.78662,132982593.1,108735
1.62E+12,2021-05-25 00:00:00+00:00,ETHUSDT,2647.92,2750,2597.99,2711.37,119075.7453,321595144.8,177222
1.62E+12,2021-05-25 01:00:00+00:00,ETHUSDT,2711.37,2737.12,2636.06,2659.61,86494.464,231540966.6,124072
1.62E+12,2021-05-25 02:00:00+00:00,ETHUSDT,2659.61,2676.68,2559.66,2571.54,103996.8536,271697007,154573
1.62E+12,2021-05-25 03:00:00+00:00,ETHUSDT,2571.6,2591.97,2536.8,2582.48,81360.67972,208703792.8,125012
1.62E+12,2021-05-25 04:00:00+00:00,ETHUSDT,2582.41,2620.55,2520.48,2587.7,79909.41977,205668581,117307
1.62E+12,2021-05-25 05:00:00+00:00,ETHUSDT,2587.7,2598.64,2542.27,2592.11,52185.11276,134296915.1,79640
1.62E+12,2021-05-25 06:00:00+00:00,ETHUSDT,2592.13,2677.31,2562.96,2658.18,75435.25955,198650768.4,128606
1.62E+12,2021-05-25 07:00:00+00:00,ETHUSDT,2658.18,2683.65,2623.9,2660.48,54919.47733,145504759.5,109130
1.62E+12,2021-05-25 08:00:00+00:00,ETHUSDT,2660.39,2674.31,2564.59,2582.45,68740.55829,179641230.5,106208
1.62E+12,2021-05-25 09:00:00+00:00,ETHUSDT,2582.65,2592.48,2528,2559.99,69802.70857,178884118.8,106159
1.62E+12,2021-05-25 10:00:00+00:00,ETHUSDT,2560.32,2561.49,2378.54,2438.71,178404.9364,437539529.9,240209
1.62E+12,2021-05-25 11:00:00+00:00,ETHUSDT,2438.91,2482.75,2388.29,2392.72,107106.0814,261166412.3,139473
1.62E+12,2021-05-25 12:00:00+00:00,ETHUSDT,2393.15,2466.92,2382.21,2456.89,112096.8548,272497751.8,132655
1.62E+12,2021-05-25 13:00:00+00:00,ETHUSDT,2456.72,2567.47,2452.76,2535,130604.6872,329369938.4,158383
1.62E+12,2021-05-25 14:00:00+00:00,ETHUSDT,2535.02,2650,2526.47,2584.9,122948.602,320129811.1,170487
1.62E+12,2021-05-25 15:00:00+00:00,ETHUSDT,2584.94,2640.02,2523.11,2610.47,188620.8556,487097644.9,192348
1.62E+12,2021-05-25 16:00:00+00:00,ETHUSDT,2610.6,2612.82,2546.33,2572.76,65001.83354,167584647.2,94205
1.62E+12,2021-05-25 17:00:00+00:00,ETHUSDT,2572.77,2598.34,2519.39,2586.15,60143.24002,154178827.5,86922
1.62E+12,2021-05-25 18:00:00+00:00,ETHUSDT,2586.31,2622.69,2565.05,2576.74,48669.69219,126211295.9,71122
1.62E+12,2021-05-25 19:00:00+00:00,ETHUSDT,2576.73,2593.96,2484.62,2512.12,71261.92048,181541858.3,103290
1.62E+12,2021-05-25 20:00:00+00:00,ETHUSDT,2512.12,2569,2504.96,2551.05,51704.14687,131400073.5,70754
1.62E+12,2021-05-25 21:00:00+00:00,ETHUSDT,2550.52,2623.31,2529.81,2612.81,36258.23032,93740509.79,67743
1.62E+12,2021-05-25 22:00:00+00:00,ETHUSDT,2612.6,2735,2606.18,2714.59,98692.73141,264294724.9,147275
1.62E+12,2021-05-25 23:00:00+00:00,ETHUSDT,2714.59,2719.12,2662.09,2705.11,51915.41332,139801239.7,74064
1.62E+12,2021-05-26 00:00:00+00:00,ETHUSDT,2705.1,2737,2643,2681.52,66917.48465,179635855.5,101104
1.62E+12,2021-05-26 01:00:00+00:00,ETHUSDT,2681.63,2768.19,2681.58,2762.35,58776.53161,160583641.1,111617
1.62E+12,2021-05-26 02:00:00+00:00,ETHUSDT,2762.03,2850,2754.32,2795.51,100705.7916,282060914.5,155321
1.62E+12,2021-05-26 03:00:00+00:00,ETHUSDT,2795.67,2845,2786.25,2840.45,58410.28167,164543574,93046
1.62E+12,2021-05-26 04:00:00+00:00,ETHUSDT,2840.47,2850,2772.41,2814.31,58035.70449,162824438.2,113180
1.62E+12,2021-05-26 05:00:00+00:00,ETHUSDT,2814.24,2843.25,2790.67,2799.59,58176.93873,163916302,121368
1.62E+12,2021-05-26 06:00:00+00:00,ETHUSDT,2799.76,2898,2786,2878.95,96700.12911,276528834.4,181170
1.62E+12,2021-05-26 07:00:00+00:00,ETHUSDT,2878.96,2894.82,2855.47,2890.62,56454.56275,162274275.9,105553
1.62E+12,2021-05-26 08:00:00+00:00,ETHUSDT,2890.61,2910,2813.97,2840.02,105520.7718,301118023.8,146156
1.62E+12,2021-05-26 09:00:00+00:00,ETHUSDT,2839.95,2870.37,2831.44,2841.2,37494.20021,107002555.1,66184
1.62E+12,2021-05-26 10:00:00+00:00,ETHUSDT,2840.98,2855,2773,2825.47,87788.24406,246761379,139085
1.62E+12,2021-05-26 11:00:00+00:00,ETHUSDT,2825.45,2840,2791.37,2832.87,47473.58596,133448754.9,91809
1.62E+12,2021-05-26 12:00:00+00:00,ETHUSDT,2832.62,2867.64,2820.93,2850.51,47075.49546,134194464.1,74523
1.62E+12,2021-05-26 13:00:00+00:00,ETHUSDT,2850.51,2850.51,2697.06,2703.11,117811.3169,324876761.4,195321
1.62E+12,2021-05-26 14:00:00+00:00,ETHUSDT,2703.11,2778.69,2688.07,2751.84,71682.51538,196660544.5,139302
1.62E+12,2021-05-26 15:00:00+00:00,ETHUSDT,2751.71,2764.59,2702.05,2744.78,69185.82258,189216893.1,111456
1.62E+12,2021-05-26 16:00:00+00:00,ETHUSDT,2744.79,2792.37,2700.01,2705.05,69120.91135,190128335.1,137531
1.62E+12,2021-05-26 17:00:00+00:00,ETHUSDT,2705.12,2746.11,2665.56,2740.14,68689.16325,185176767.6,111578
1.62E+12,2021-05-26 18:00:00+00:00,ETHUSDT,2740.14,2760,2703.55,2751.6,52997.55687,144782638.2,94341
1.62E+12,2021-05-26 19:00:00+00:00,ETHUSDT,2751.26,2754.51,2680.01,2739.85,58116.03225,158074354.2,127514
1.62E+12,2021-05-26 20:00:00+00:00,ETHUSDT,2739.88,2811,2722.22,2795,66105.42778,183582044,99852
1.62E+12,2021-05-26 21:00:00+00:00,ETHUSDT,2795.01,2829.03,2772.37,2813.18,43464.40175,121698144.7,68853
1.62E+12,2021-05-26 22:00:00+00:00,ETHUSDT,2813.18,2843,2798.07,2841.13,41940.6858,118396458.5,62522
1.62E+12,2021-05-26 23:00:00+00:00,ETHUSDT,2841.59,2887.15,2814.65,2884.94,45156.03648,128903174.7,78151
1.62E+12,2021-05-27 00:00:00+00:00,ETHUSDT,2884.82,2889.74,2780.27,2812.27,74234.88139,209885233.6,94488
1.62E+12,2021-05-27 01:00:00+00:00,ETHUSDT,2812.49,2819,2666,2691.61,88886.51617,243158578.9,127924
1.62E+12,2021-05-27 02:00:00+00:00,ETHUSDT,2691.32,2733.33,2671.24,2712.82,68210.91675,184746002.4,95868
1.62E+12,2021-05-27 03:00:00+00:00,ETHUSDT,2712.65,2713.7,2633.68,2679.26,76833.7909,204857844.3,123004
1.62E+12,2021-05-27 04:00:00+00:00,ETHUSDT,2679.26,2706.42,2645.87,2704.21,46910.64654,125518258.2,72271
1.62E+12,2021-05-27 05:00:00+00:00,ETHUSDT,2704.16,2739.15,2659.13,2733.38,48567.14396,130735852.7,71781
1.62E+12,2021-05-27 06:00:00+00:00,ETHUSDT,2733.21,2760,2705.68,2754.06,39707.07654,108467449,56055
1.62E+12,2021-05-27 07:00:00+00:00,ETHUSDT,2754.15,2757.03,2718.57,2735.02,33350.7716,91327745.38,49677
1.62E+12,2021-05-27 08:00:00+00:00,ETHUSDT,2735.03,2780.03,2683.93,2759.77,54875.13454,150393432.1,90793
1.62E+12,2021-05-27 09:00:00+00:00,ETHUSDT,2759.6,2814,2758.05,2790.28,41131.50927,114652304.3,77481
1.62E+12,2021-05-27 10:00:00+00:00,ETHUSDT,2790.28,2812.26,2767.51,2779.03,35882.22609,100104007.1,68663
1.62E+12,2021-05-27 11:00:00+00:00,ETHUSDT,2778.97,2841.96,2778.23,2826.88,42287.14452,118884513.3,68944
1.62E+12,2021-05-27 12:00:00+00:00,ETHUSDT,2826.87,2844.78,2774.94,2781.73,49233.4258,138146820,74336
1.62E+12,2021-05-27 13:00:00+00:00,ETHUSDT,2781.71,2865,2780.51,2827.52,64724.44228,183610508.2,101605
1.62E+12,2021-05-27 14:00:00+00:00,ETHUSDT,2827.54,2867.96,2825.51,2842.35,37501.82724,106827801.7,61123
1.62E+12,2021-05-27 15:00:00+00:00,ETHUSDT,2842.35,2850,2787.38,2803.99,51522.43785,144897641.9,73279
1.62E+12,2021-05-27 16:00:00+00:00,ETHUSDT,2803.85,2814.63,2754.44,2765.41,53073.05851,147518067.3,77417
1.62E+12,2021-05-27 17:00:00+00:00,ETHUSDT,2765.52,2796.65,2760.59,2784.59,28984.2905,80542110.36,44136
1.62E+12,2021-05-27 18:00:00+00:00,ETHUSDT,2784.59,2794.98,2762.7,2789.33,20387.46438,56721030.4,36704
1.62E+12,2021-05-27 19:00:00+00:00,ETHUSDT,2789.71,2790.99,2734.9,2757.66,29659.18667,81770263.79,51281
1.62E+12,2021-05-27 20:00:00+00:00,ETHUSDT,2757.66,2760.69,2717.91,2720,24981.71047,68470947.59,43113
1.62E+12,2021-05-27 21:00:00+00:00,ETHUSDT,2720,2788.22,2701.77,2779.34,33406.96143,91670548.23,76268
1.62E+12,2021-05-27 22:00:00+00:00,ETHUSDT,2779.39,2795,2744.24,2755.6,28831.64129,79870719.87,49677
1.62E+12,2021-05-27 23:00:00+00:00,ETHUSDT,2755.6,2777.45,2722.26,2742.23,25845.70737,70941463.74,46225
1.62E+12,2021-05-28 00:00:00+00:00,ETHUSDT,2742.23,2762.45,2701.6,2704.34,39882.56948,108858456.8,62838
1.62E+12,2021-05-28 01:00:00+00:00,ETHUSDT,2704.66,2717.56,2668.01,2710.56,41607.44948,112031808.7,72255
1.62E+12,2021-05-28 02:00:00+00:00,ETHUSDT,2710.52,2732.37,2700,2730.02,23149.43187,62955292.21,38228
1.62E+12,2021-05-28 03:00:00+00:00,ETHUSDT,2730.24,2730.82,2696.95,2716.07,25431.73741,69013189.9,43888
1.62E+12,2021-05-28 04:00:00+00:00,ETHUSDT,2716.06,2716.06,2650,2656.47,48223.44165,128978282.4,75109
1.62E+12,2021-05-28 05:00:00+00:00,ETHUSDT,2656.55,2678.13,2556.14,2577.01,80966.73322,211902138.7,117549
1.62E+12,2021-05-28 06:00:00+00:00,ETHUSDT,2577,2590.84,2513,2553.27,97525.01558,248751386.8,142183
1.62E+12,2021-05-28 07:00:00+00:00,ETHUSDT,2553.65,2590.03,2524.31,2566.13,71210.6585,182490962.1,92194
1.62E+12,2021-05-28 08:00:00+00:00,ETHUSDT,2566.69,2583.72,2485.85,2506.45,71341.07308,181237009.4,100683
1.62E+12,2021-05-28 09:00:00+00:00,ETHUSDT,2506.45,2513.55,2434.07,2495.82,130243.3652,322246297.6,169281
1.62E+12,2021-05-28 10:00:00+00:00,ETHUSDT,2495.85,2520,2466.68,2497.92,63019.52018,157267557.3,85781
1.62E+12,2021-05-28 11:00:00+00:00,ETHUSDT,2497.98,2519,2419.46,2435.66,80093.93297,197427507.2,109423
1.62E+12,2021-05-28 12:00:00+00:00,ETHUSDT,2435.65,2574.96,2421.43,2562.84,105587.1526,266638420,140087
1.62E+12,2021-05-28 13:00:00+00:00,ETHUSDT,2562.84,2617.78,2562.28,2587.35,95304.26467,247169753.5,105223
1.62E+12,2021-05-28 14:00:00+00:00,ETHUSDT,2587.48,2589.39,2540.4,2549.67,55030.647,141077849,78005
